sex,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,CH,202009,26,TRUE,26,0.5,50,4338203,0.6,0.6,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
female,CH,202009,26,TRUE,26,0.5,50,4400588,0.59,0.59,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
unknown,CH,202009,0,TRUE,0,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA
male,CH,202010,57,TRUE,83,0.514,51.4,4338203,1.31,1.91,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-10,31,0.71,119.2,1.3999999999999986
female,CH,202010,54,TRUE,80,0.486,48.6,4400588,1.23,1.82,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-10,28,0.64,107.7,-1.3999999999999986
unknown,CH,202010,0,TRUE,0,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-10,0,NA,NA,0
male,CH,202011,199,TRUE,282,0.567,56.699999999999996,4338203,4.59,6.5,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-11,142,3.28,249.1,5.299999999999997
female,CH,202011,152,TRUE,232,0.433,43.3,4400588,3.45,5.27,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-11,98,2.22,181.5,-5.300000000000004
unknown,CH,202011,0,TRUE,0,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-11,0,NA,NA,0
male,CH,202012,516,TRUE,798,0.614,61.4,4338203,11.89,18.39,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-12,317,7.3,159.3,4.700000000000003
female,CH,202012,324,TRUE,556,0.386,38.6,4400588,7.36,12.63,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-12,172,3.91,113.2,-4.699999999999996
unknown,CH,202012,0,TRUE,0,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-12,0,NA,NA,0
male,CH,202013,742,TRUE,1540,0.632,63.2,4338203,17.1,35.5,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-13,226,5.21,43.8,1.8000000000000043
female,CH,202013,432,TRUE,988,0.368,36.8,4400588,9.82,22.45,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-13,108,2.46,33.3,-1.8000000000000043
unknown,CH,202013,0,TRUE,0,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-13,0,NA,NA,0
male,CH,202014,425,TRUE,1965,0.632,63.2,4338203,9.8,45.3,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-14,-317,-7.3,-42.7,0
female,CH,202014,247,TRUE,1235,0.367,36.7,4400588,5.61,28.06,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-14,-185,-4.21,-42.8,-0.09999999999999432
unknown,CH,202014,1,TRUE,1,0.001,0.1,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-14,1,NA,NA,0.1
male,CH,202015,230,TRUE,2195,0.605,60.5,4338203,5.3,50.6,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-15,-195,-4.5,-45.9,-2.700000000000003
female,CH,202015,150,TRUE,1385,0.395,39.5,4400588,3.41,31.47,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-15,-97,-2.2,-39.3,2.799999999999997
unknown,CH,202015,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-15,-1,NA,-100,-0.1
male,CH,202016,130,TRUE,2325,0.575,57.49999999999999,4338203,3,53.59,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-16,-100,-2.3,-43.5,-3.000000000000007
female,CH,202016,96,TRUE,1481,0.425,42.5,4400588,2.18,33.65,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-16,-54,-1.23,-36,3
unknown,CH,202016,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-16,0,NA,NA,0
male,CH,202017,63,TRUE,2388,0.583,58.3,4338203,1.45,55.05,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-17,-67,-1.55,-51.5,0.8000000000000043
female,CH,202017,45,TRUE,1526,0.417,41.699999999999996,4400588,1.02,34.68,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-17,-51,-1.16,-53.1,-0.8000000000000043
unknown,CH,202017,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-17,0,NA,NA,0
male,CH,202018,33,TRUE,2421,0.5,50,4338203,0.76,55.81,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-18,-30,-0.69,-47.6,-8.299999999999997
female,CH,202018,33,TRUE,1559,0.5,50,4400588,0.75,35.43,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-18,-12,-0.27,-26.7,8.300000000000004
unknown,CH,202018,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-18,0,NA,NA,0
male,CH,202019,17,TRUE,2438,0.548,54.800000000000004,4338203,0.39,56.2,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-19,-16,-0.37,-48.5,4.800000000000004
female,CH,202019,14,TRUE,1573,0.452,45.2,4400588,0.32,35.75,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-19,-19,-0.43,-57.6,-4.799999999999997
unknown,CH,202019,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-19,0,NA,NA,0
male,CH,202020,13,TRUE,2451,0.52,52,4338203,0.3,56.5,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-20,-4,-0.09,-23.5,-2.8000000000000043
female,CH,202020,12,TRUE,1585,0.48,48,4400588,0.27,36.02,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-20,-2,-0.05,-14.3,2.799999999999997
unknown,CH,202020,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-20,0,NA,NA,0
male,CH,202021,5,TRUE,2456,0.294,29.4,4338203,0.12,56.61,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-21,-8,-0.18,-61.5,-22.6
female,CH,202021,12,TRUE,1597,0.706,70.6,4400588,0.27,36.29,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-21,0,0,0,22.599999999999994
unknown,CH,202021,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-21,0,NA,NA,0
male,CH,202022,10,TRUE,2466,0.526,52.6,4338203,0.23,56.84,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-22,5,0.11,100,23.200000000000003
female,CH,202022,9,TRUE,1606,0.474,47.4,4400588,0.2,36.5,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-22,-3,-0.07,-25,-23.199999999999996
unknown,CH,202022,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-22,0,NA,NA,0
male,CH,202023,4,TRUE,2470,0.8,80,4338203,0.09,56.94,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-23,-6,-0.14,-60,27.4
female,CH,202023,1,TRUE,1607,0.2,20,4400588,0.02,36.52,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-23,-8,-0.18,-88.9,-27.4
unknown,CH,202023,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-23,0,NA,NA,0
male,CH,202024,4,TRUE,2474,0.5,50,4338203,0.09,57.03,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-24,0,0,0,-30
female,CH,202024,4,TRUE,1611,0.5,50,4400588,0.09,36.61,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-24,3,0.07,300,30
unknown,CH,202024,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-24,0,NA,NA,0
male,CH,202025,9,TRUE,2483,0.529,52.900000000000006,4338203,0.21,57.24,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-25,5,0.12,125,2.9000000000000057
female,CH,202025,8,TRUE,1619,0.471,47.099999999999994,4400588,0.18,36.79,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-25,4,0.09,100,-2.9000000000000057
unknown,CH,202025,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-25,0,NA,NA,0
male,CH,202026,9,TRUE,2492,0.529,52.900000000000006,4338203,0.21,57.44,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-26,0,0,0,0
female,CH,202026,8,TRUE,1627,0.471,47.099999999999994,4400588,0.18,36.97,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-26,0,0,0,0
unknown,CH,202026,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-26,0,NA,NA,0
male,CH,202027,22,TRUE,2514,0.579,57.9,4338203,0.51,57.95,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-27,13,0.3,144.4,4.999999999999993
female,CH,202027,16,TRUE,1643,0.421,42.1,4400588,0.36,37.34,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-27,8,0.18,100,-4.999999999999993
unknown,CH,202027,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-27,0,NA,NA,0
male,CH,202028,35,TRUE,2549,0.625,62.5,4338203,0.81,58.76,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-28,13,0.3,59.1,4.600000000000001
female,CH,202028,21,TRUE,1664,0.375,37.5,4400588,0.48,37.81,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-28,5,0.12,31.2,-4.600000000000001
unknown,CH,202028,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-28,0,NA,NA,0
male,CH,202029,24,TRUE,2573,0.667,66.7,4338203,0.55,59.31,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-29,-11,-0.26,-31.4,4.200000000000003
female,CH,202029,12,TRUE,1676,0.333,33.300000000000004,4400588,0.27,38.09,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-29,-9,-0.21,-42.9,-4.199999999999996
unknown,CH,202029,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-29,0,NA,NA,0
male,CH,202030,41,TRUE,2614,0.695,69.5,4338203,0.95,60.26,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-30,17,0.4,70.8,2.799999999999997
female,CH,202030,18,TRUE,1694,0.305,30.5,4400588,0.41,38.49,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-30,6,0.14,50,-2.8000000000000043
unknown,CH,202030,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-30,0,NA,NA,0
male,CH,202031,35,TRUE,2649,0.565,56.49999999999999,4338203,0.81,61.06,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-31,-6,-0.14,-14.6,-13.000000000000007
female,CH,202031,27,TRUE,1721,0.435,43.5,4400588,0.61,39.11,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-31,9,0.2,50,13
unknown,CH,202031,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-31,0,NA,NA,0
male,CH,202032,30,TRUE,2679,0.6,60,4338203,0.69,61.75,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-32,-5,-0.12,-14.3,3.500000000000007
female,CH,202032,20,TRUE,1741,0.4,40,4400588,0.45,39.56,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-32,-7,-0.16,-25.9,-3.5
unknown,CH,202032,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-32,0,NA,NA,0
male,CH,202033,22,TRUE,2701,0.415,41.5,4338203,0.51,62.26,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-33,-8,-0.18,-26.7,-18.5
female,CH,202033,31,TRUE,1772,0.585,58.5,4400588,0.7,40.27,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-33,11,0.25,55,18.5
unknown,CH,202033,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-33,0,NA,NA,0
male,CH,202034,29,TRUE,2730,0.569,56.89999999999999,4338203,0.67,62.93,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-34,7,0.16,31.8,15.399999999999991
female,CH,202034,22,TRUE,1794,0.431,43.1,4400588,0.5,40.77,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-34,-9,-0.2,-29,-15.399999999999999
unknown,CH,202034,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-34,0,NA,NA,0
male,CH,202035,25,TRUE,2755,0.568,56.8,4338203,0.58,63.51,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-35,-4,-0.09,-13.8,-0.09999999999999432
female,CH,202035,19,TRUE,1813,0.432,43.2,4400588,0.43,41.2,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-35,-3,-0.07,-13.6,0.10000000000000142
unknown,CH,202035,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-35,0,NA,NA,0
male,CH,202036,44,TRUE,2799,0.579,57.9,4338203,1.01,64.52,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-36,19,0.43,76,1.1000000000000014
female,CH,202036,32,TRUE,1845,0.421,42.1,4400588,0.73,41.93,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-36,13,0.3,68.4,-1.1000000000000014
unknown,CH,202036,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-36,0,NA,NA,0
male,CH,202037,49,TRUE,2848,0.49,49,4338203,1.13,65.65,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-37,5,0.12,11.4,-8.899999999999999
female,CH,202037,51,TRUE,1896,0.51,51,4400588,1.16,43.09,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-37,19,0.43,59.4,8.899999999999999
unknown,CH,202037,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-37,0,NA,NA,0
male,CH,202038,62,TRUE,2910,0.579,57.9,4338203,1.43,67.08,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-38,13,0.3,26.5,8.899999999999999
female,CH,202038,45,TRUE,1941,0.421,42.1,4400588,1.02,44.11,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-38,-6,-0.14,-11.8,-8.899999999999999
unknown,CH,202038,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-38,0,NA,NA,0
male,CH,202039,58,TRUE,2968,0.504,50.4,4338203,1.34,68.42,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-39,-4,-0.09,-6.5,-7.5
female,CH,202039,57,TRUE,1998,0.496,49.6,4400588,1.3,45.4,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-39,12,0.28,26.7,7.5
unknown,CH,202039,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-39,0,NA,NA,0
male,CH,202040,84,TRUE,3052,0.512,51.2,4338203,1.94,70.35,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-40,26,0.6,44.8,0.8000000000000043
female,CH,202040,80,TRUE,2078,0.488,48.8,4400588,1.82,47.22,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-40,23,0.52,40.4,-0.8000000000000043
unknown,CH,202040,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-40,0,NA,NA,0
male,CH,202041,146,TRUE,3198,0.51,51,4338203,3.37,73.72,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-41,62,1.43,73.8,-0.20000000000000284
female,CH,202041,140,TRUE,2218,0.49,49,4400588,3.18,50.4,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-41,60,1.36,75,0.20000000000000284
unknown,CH,202041,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-41,0,NA,NA,0
male,CH,202042,388,TRUE,3586,0.598,59.8,4338203,8.94,82.66,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-42,242,5.57,165.8,8.799999999999997
female,CH,202042,261,TRUE,2479,0.402,40.2,4400588,5.93,56.33,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-42,121,2.75,86.4,-8.799999999999997
unknown,CH,202042,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-42,0,NA,NA,0
male,CH,202043,680,TRUE,4266,0.558,55.800000000000004,4338203,15.67,98.34,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-43,292,6.73,75.3,-3.999999999999993
female,CH,202043,538,TRUE,3017,0.442,44.2,4400588,12.23,68.56,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-43,277,6.3,106.1,4
unknown,CH,202043,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-43,0,NA,NA,0
male,CH,202044,964,TRUE,5230,0.59,59,4338203,22.22,120.56,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-44,284,6.55,41.8,3.1999999999999957
female,CH,202044,670,TRUE,3687,0.41,41,4400588,15.23,83.78,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-44,132,3,24.5,-3.200000000000003
unknown,CH,202044,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-44,0,NA,NA,0
male,CH,202045,1006,TRUE,6236,0.595,59.5,4338203,23.19,143.75,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-45,42,0.97,4.4,0.5
female,CH,202045,685,TRUE,4372,0.405,40.5,4400588,15.57,99.35,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-45,15,0.34,2.2,-0.5
unknown,CH,202045,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-45,0,NA,NA,0
male,CH,202046,879,TRUE,7115,0.57,56.99999999999999,4338203,20.26,164.01,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-46,-127,-2.93,-12.6,-2.500000000000007
female,CH,202046,664,TRUE,5036,0.43,43,4400588,15.09,114.44,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-46,-21,-0.48,-3.1,2.5
unknown,CH,202046,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-46,0,NA,NA,0
male,CH,202047,757,TRUE,7872,0.568,56.8,4338203,17.45,181.46,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-47,-122,-2.81,-13.9,-0.19999999999999574
female,CH,202047,575,TRUE,5611,0.432,43.2,4400588,13.07,127.51,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-47,-89,-2.02,-13.4,0.20000000000000284
unknown,CH,202047,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-47,0,NA,NA,0
male,CH,202048,699,TRUE,8571,0.58,57.99999999999999,4338203,16.11,197.57,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-48,-58,-1.34,-7.7,1.1999999999999957
female,CH,202048,507,TRUE,6118,0.42,42,4400588,11.52,139.03,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-48,-68,-1.55,-11.8,-1.2000000000000028
unknown,CH,202048,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-48,0,NA,NA,0
male,CH,202049,649,TRUE,9220,0.554,55.400000000000006,4338203,14.96,212.53,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-49,-50,-1.15,-7.2,-2.599999999999987
female,CH,202049,522,TRUE,6640,0.446,44.6,4400588,11.86,150.89,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-49,15,0.34,3,2.6000000000000014
unknown,CH,202049,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-49,0,NA,NA,0
male,CH,202050,690,TRUE,9910,0.562,56.2,4338203,15.91,228.44,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-50,41,0.95,6.3,0.7999999999999972
female,CH,202050,537,TRUE,7177,0.438,43.8,4400588,12.2,163.09,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-50,15,0.34,2.9,-0.8000000000000043
unknown,CH,202050,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-50,0,NA,NA,0
male,CH,202051,665,TRUE,10575,0.575,57.49999999999999,4338203,15.33,243.76,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-51,-25,-0.58,-3.6,1.29999999999999
female,CH,202051,491,TRUE,7668,0.425,42.5,4400588,11.16,174.25,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-51,-46,-1.04,-8.6,-1.2999999999999972
unknown,CH,202051,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-51,0,NA,NA,0
male,CH,202052,628,TRUE,11203,0.567,56.699999999999996,4338203,14.48,258.24,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-52,-37,-0.85,-5.6,-0.7999999999999972
female,CH,202052,480,TRUE,8148,0.433,43.3,4400588,10.91,185.16,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-52,-11,-0.25,-2.2,0.7999999999999972
unknown,CH,202052,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-52,0,NA,NA,0
male,CH,202053,646,TRUE,11849,0.566,56.599999999999994,4338203,14.89,273.13,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-53,18,0.41,2.9,-0.10000000000000142
female,CH,202053,495,TRUE,8643,0.434,43.4,4400588,11.25,196.41,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-53,15,0.34,3.1,0.10000000000000142
unknown,CH,202053,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2020-53,0,NA,NA,0
male,CH,202101,548,TRUE,12397,0.572,57.199999999999996,4338203,12.63,285.76,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-01,-98,-2.26,-15.2,0.6000000000000014
female,CH,202101,410,TRUE,9053,0.428,42.8,4400588,9.32,205.72,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-01,-85,-1.93,-17.2,-0.6000000000000014
unknown,CH,202101,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-01,0,NA,NA,0
male,CH,202102,376,TRUE,12773,0.547,54.7,4338203,8.67,294.43,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-02,-172,-3.96,-31.4,-2.499999999999993
female,CH,202102,312,TRUE,9365,0.453,45.300000000000004,4400588,7.09,212.81,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-02,-98,-2.23,-23.9,2.500000000000007
unknown,CH,202102,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-02,0,NA,NA,0
male,CH,202103,299,TRUE,13072,0.549,54.900000000000006,4338203,6.89,301.32,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-03,-77,-1.78,-20.5,0.20000000000000284
female,CH,202103,246,TRUE,9611,0.451,45.1,4400588,5.59,218.4,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-03,-66,-1.5,-21.2,-0.20000000000000284
unknown,CH,202103,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-03,0,NA,NA,0
male,CH,202104,251,TRUE,13323,0.539,53.900000000000006,4338203,5.79,307.11,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-04,-48,-1.1,-16.1,-1
female,CH,202104,215,TRUE,9826,0.461,46.1,4400588,4.89,223.29,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-04,-31,-0.7,-12.6,1
unknown,CH,202104,0,TRUE,1,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-04,0,NA,NA,0
male,CH,202105,221,TRUE,13544,0.521,52.1,4338203,5.09,312.2,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-05,-30,-0.7,-12,-1.8000000000000043
female,CH,202105,202,TRUE,10028,0.476,47.599999999999994,4400588,4.59,227.88,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-05,-13,-0.3,-6,1.499999999999993
unknown,CH,202105,1,TRUE,2,0.002,0.2,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-05,1,NA,NA,0.2
male,CH,202106,179,TRUE,13723,0.544,54.400000000000006,4338203,4.13,316.33,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-06,-42,-0.96,-19,2.3000000000000043
female,CH,202106,150,TRUE,10178,0.456,45.6,4400588,3.41,231.29,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-06,-52,-1.18,-25.7,-1.999999999999993
unknown,CH,202106,0,TRUE,2,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-06,-1,NA,-100,-0.2
male,CH,202107,180,TRUE,13903,0.575,57.49999999999999,4338203,4.15,320.48,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-07,1,0.02,0.6,3.099999999999987
female,CH,202107,133,TRUE,10311,0.425,42.5,4400588,3.02,234.31,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-07,-17,-0.39,-11.3,-3.1000000000000014
unknown,CH,202107,0,TRUE,2,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-07,0,NA,NA,0
male,CH,202108,149,TRUE,14052,0.51,51,4338203,3.43,323.91,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-08,-31,-0.72,-17.2,-6.499999999999993
female,CH,202108,143,TRUE,10454,0.49,49,4400588,3.25,237.56,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-08,10,0.23,7.5,6.5
unknown,CH,202108,0,TRUE,2,0,0,NA,NA,NA,COVID19Hosp,sex,2023-11-28_06-00-38,isoweek,2021-08,0,NA,NA,0
