geoRegion,version,groupType,group,facilities,facilities_prct
NE,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
NE,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
NE,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
NE,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
NE,2023-11-28_08-00-00,percentile_7d,80-100%,1,100
NE,2023-11-28_08-00-00,percentile_7d,all,1,100
NE,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
NE,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
NE,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
NE,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
NE,2023-11-28_08-00-00,pp_7d,+10To+20pp,1,100
NE,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
NE,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
NE,2023-11-28_08-00-00,pp_7d,nca,0,0
NE,2023-11-28_08-00-00,pp_7d,all,1,100
SG,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
SG,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
SG,2023-11-28_08-00-00,percentile_7d,40-60%,1,100
SG,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
SG,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
SG,2023-11-28_08-00-00,percentile_7d,all,1,100
SG,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
SG,2023-11-28_08-00-00,pp_7d,-20ppOrLess,1,100
SG,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
SG,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
SG,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
SG,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
SG,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
SG,2023-11-28_08-00-00,pp_7d,nca,0,0
SG,2023-11-28_08-00-00,pp_7d,all,1,100
SO,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
SO,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
SO,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
SO,2023-11-28_08-00-00,percentile_7d,60-80%,1,100
SO,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
SO,2023-11-28_08-00-00,percentile_7d,all,1,100
SO,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
SO,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
SO,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
SO,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
SO,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
SO,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
SO,2023-11-28_08-00-00,pp_7d,+3To+10pp,1,100
SO,2023-11-28_08-00-00,pp_7d,nca,0,0
SO,2023-11-28_08-00-00,pp_7d,all,1,100
SZ,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
SZ,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
SZ,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
SZ,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
SZ,2023-11-28_08-00-00,percentile_7d,80-100%,1,100
SZ,2023-11-28_08-00-00,percentile_7d,all,1,100
SZ,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
SZ,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
SZ,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
SZ,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
SZ,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
SZ,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
SZ,2023-11-28_08-00-00,pp_7d,+3To+10pp,1,100
SZ,2023-11-28_08-00-00,pp_7d,nca,0,0
SZ,2023-11-28_08-00-00,pp_7d,all,1,100
TI,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
TI,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
TI,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
TI,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
TI,2023-11-28_08-00-00,percentile_7d,80-100%,1,100
TI,2023-11-28_08-00-00,percentile_7d,all,1,100
TI,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
TI,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
TI,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
TI,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
TI,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
TI,2023-11-28_08-00-00,pp_7d,+20ppOrMore,1,100
TI,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
TI,2023-11-28_08-00-00,pp_7d,nca,0,0
TI,2023-11-28_08-00-00,pp_7d,all,1,100
VD,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
VD,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
VD,2023-11-28_08-00-00,percentile_7d,40-60%,0,0
VD,2023-11-28_08-00-00,percentile_7d,60-80%,1,100
VD,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
VD,2023-11-28_08-00-00,percentile_7d,all,1,100
VD,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
VD,2023-11-28_08-00-00,pp_7d,-20ppOrLess,0,0
VD,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
VD,2023-11-28_08-00-00,pp_7d,-3To+3pp,1,100
VD,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
VD,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
VD,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
VD,2023-11-28_08-00-00,pp_7d,nca,0,0
VD,2023-11-28_08-00-00,pp_7d,all,1,100
ZH,2023-11-28_08-00-00,percentile_7d,0-20%,0,0
ZH,2023-11-28_08-00-00,percentile_7d,20-40%,0,0
ZH,2023-11-28_08-00-00,percentile_7d,40-60%,1,100
ZH,2023-11-28_08-00-00,percentile_7d,60-80%,0,0
ZH,2023-11-28_08-00-00,percentile_7d,80-100%,0,0
ZH,2023-11-28_08-00-00,percentile_7d,all,1,100
ZH,2023-11-28_08-00-00,pp_7d,-10To-20pp,0,0
ZH,2023-11-28_08-00-00,pp_7d,-20ppOrLess,1,100
ZH,2023-11-28_08-00-00,pp_7d,-3To-10pp,0,0
ZH,2023-11-28_08-00-00,pp_7d,-3To+3pp,0,0
ZH,2023-11-28_08-00-00,pp_7d,+10To+20pp,0,0
ZH,2023-11-28_08-00-00,pp_7d,+20ppOrMore,0,0
ZH,2023-11-28_08-00-00,pp_7d,+3To+10pp,0,0
ZH,2023-11-28_08-00-00,pp_7d,nca,0,0
ZH,2023-11-28_08-00-00,pp_7d,all,1,100
